filename,women-related target,harm_type,harm_category,rationale
img00001.jpg,female shoppers,Implicit-Harm,Sexual-Harassment,"The image implies that female shoppers take longer to shop at Gap compared to males, which could be interpreted as a form of sexual harassment."
img00002.jpg,woman,Implicit-Harm,Sexual-Harassment,The meme implies that being attractive to women is inherently problematic.
img00003.jpg,women taking a selfie,Non-Harmful,NULL,"The image shows three women taking a selfie, which is a common social activity and does not target women for abuse or harassment."
img00004.jpg,woman in red dress,Non-Harmful,NULL,The meme uses a humorous misunderstanding to create a playful scenario without targeting the woman for abuse or degradation.
img00005.jpg,female relationships,Non-Harmful,NULL,The image uses a humorous but non-harmful comparison to depict different types of relationships.
img00006.jpg,woman with gun,Non-Harmful,NULL,"The image depicts a scene from a cartoon where a woman is holding a gun, which is part of the narrative but does not target women for abuse or harassment."
img00007.jpg,woman's body,Implicit-Harm,Appearance-Attack,"The meme uses a child's body as a negative descriptor for a woman, attacking her appearance."
img00008.jpg,girls,Non-Harmful,NULL,The meme uses a neutral tone to discuss gender stereotypes without targeting women for abuse.
img00009.jpg,woman,Non-Harmful,NULL,"The image depicts a man whispering to a woman in a social setting, but there is no explicit or implicit harm towards the woman."
img00010.png,woman sitting on the bench,Non-Harmful,NULL,The comic uses a common trope to humorously depict a man's reaction to a woman saving a seat for her boyfriend.
img00011.jpg,woman,Non-Harmful,NULL,"The meme uses a humorous context to discuss legal age of consent, which is not inherently harmful."
img00012.png,woman standing among football players,Non-Harmful,NULL,The image uses a humorous context to highlight a common frustration without targeting women for abuse.
img00013.jpg,woman wearing a chef hat,Non-Harmful,NULL,"The image shows a man and a puppet in a kitchen setting, which is a common scene in cooking shows but does not target women for abuse or harassment."
img00014.jpg,woman's anger,Implicit-Harm,Misogyny,"The meme uses a metaphor comparing a woman's anger to a check engine light, implying it's unresolvable and should be ignored."
img00015.jpg,woman in Madonna's relationship,Non-Harmful,NULL,The image highlights age differences between couples but does not target women for abuse or harassment.
img00016.jpg,woman,Non-Harmful,NULL,The image is a meme referencing a historical figure and does not target women for abuse or harassment.
img00017.png,unemployed women,Implicit-Harm,Sexual-Harassment,"The meme implies that dating unemployed women is a negative experience, which can be seen as degrading towards women."
img00018.png,woman character,Non-Harmful,NULL,The image depicts a cartoon character without any explicit or implicit harm towards women.
img00019.jpg,women who can cook,Implicit-Harm,Sexual-Harassment,"The meme implies that women who can cook are exceptional compared to those who can only do TikTok, which is a form of sexual objectification."
img00020.png,wife,Implicit-Harm,Sexual-Harassment,"The meme implies that getting married leads to unwanted physical changes in the wife, which is a form of sexual harassment."
img00021.jpg,woman passenger,Implicit-Harm,Misogyny,"The meme suggests that women are inherently more likely to cause car accidents, promoting a harmful stereotype."
img00022.jpg,woman in swimsuit,Implicit-Harm,Sexual-Harassment,The meme uses a suggestive gesture to imply the woman is being objectified.
img00023.jpg,woman being called fat,Explicit-Harm,Appearance-Attack,The comment uses a derogatory term 'fat bitch' to attack the woman's appearance.
img00024.jpg,female influencer,Non-Harmful,NULL,The meme discusses the impact of banning TikTok on Gen Z influencers but does not target women for abuse or harassment.
img00025.png,girl playing with her pet goat,Implicit-Harm,Sexual-Harassment,"The meme implies that police officers are overly concerned about a girl playing with a goat, which could be seen as a form of sexual harassment."
img00026.jpg,woman,Explicit-Harm,Sexual-Harassment,"The meme suggests a desire for a woman with a low body count, which is a form of sexual harassment."
img00027.jpg,woman,Explicit-Harm,Sexual-Harassment,"The meme includes a suggestive and inappropriate statement about a woman's ability to do men's tasks, which could be interpreted as sexual harassment."
img00028.png,female character,Non-Harmful,NULL,The image discusses a cultural controversy but does not target women for abuse or harassment.
img00029.jpg,female interest,Implicit-Harm,Misogyny,"The post dismisses female interest as irrelevant to finding a girlfriend, perpetuating a harmful stereotype about women's value."
img00030.png,OnlyFans girls,Non-Harmful,NULL,The meme uses a general term 'OnlyFans girls' without targeting any specific individual or group.
img00031.jpg,woman's appearance,Implicit-Harm,Appearance-Attack,"The meme suggests that men can judge women's attractiveness based on their makeup, which implies a harmful stereotype about women's appearance."
img00032.jpg,woman in love,Explicit-Harm,Sexual-Harassment,"The meme uses derogatory language to describe the woman as 'a chick', which is a form of sexual harassment."
img00033.jpg,woman fishing,Implicit-Harm,Sexual-Harassment,"The meme suggests women should not fish, implying they are not capable or qualified to do so, which is a form of sexual harassment."
img00034.jpg,woman's appearance,Non-Harmful,NULL,The meme uses a generic 'Bad Luck Brian' character to depict a common scenario without targeting women for abuse.
img00035.png,Aloy's appearance,Non-Harmful,NULL,The discussion focuses on changes to a character's appearance over time without targeting women for abuse.
img00036.png,woman wearing a dress,Implicit-Harm,Appearance-Attack,"The meme uses a visual comparison to attack the woman's appearance, suggesting she is trying to look like someone else."
img00037.jpg,woman's appearance,Explicit-Harm,Sexual-Harassment,The meme uses derogatory language and objectifies the woman's body.
img00038.jpg,female officer,Explicit-Harm,Violence,"The tweet references a violent incident involving a female officer, which is explicitly harmful."
img00039.jpg,woman getting her hair dried,Non-Harmful,NULL,The image depicts a humorous scenario without any explicit or implicit harm towards the woman.
img00040.jpg,Cartman,Non-Harmful,NULL,The image uses derogatory language towards Cartman but does not target women.
img00041.jpg,woman in trunk,Non-Harmful,NULL,"The meme uses a humorous scenario to compare love between a wife and a dog, but it does not target women for abuse or harassment."
img00042.jpg,woman's appearance,Non-Harmful,NULL,"The image depicts a meme featuring a character with exaggerated features, but there is no explicit or implicit harm towards women."
img00043.png,woman named Makeup Tutorials,Non-Harmful,NULL,The meme uses a name that could be seen as trivializing or dismissive of a woman's identity.
img00044.png,woman audience member,Non-Harmful,NULL,The meme uses a generic audience reaction to convey frustration without targeting women specifically.
img00045.png,woman's appearance,Non-Harmful,NULL,"The image uses a binary choice between two options, neither of which directly harms women."
img00046.jpg,woman's appearance,Non-Harmful,NULL,"The image uses a violent video game theme to promote a Sega arcade game, which is unrelated to domestic violence."
img00047.jpg,woman,Implicit-Harm,Sexual-Harassment,"The meme suggests that mistreating women can make someone attractive to women, which is a harmful stereotype."
img00048.jpg,woman's appearance,Explicit-Harm,Sexual-Harassment,The image uses a provocative question about a woman's anatomy to make a humorous but inappropriate statement about men's financial losses.
img00049.png,The Owner's Wife,Non-Harmful,NULL,"The meme describes her as 'Owner's wife AND head of HR is never a good combo,' which is a neutral observation without any harmful intent."
img00050.jpg,woman,Explicit-Harm,Sexual-Harassment,"The meme depicts a man deciding to teach a woman how to talk, which implies she needs instruction on basic communication skills, suggesting she lacks intelligence."
img00051.png,jealous girlfriend,Implicit-Harm,Misogyny,"The meme depicts a jealous girlfriend's reaction as a form of implicit harm, targeting her feelings and the dynamics of her relationship."
img00052.png,fat girls,Implicit-Harm,Misogyny,"The meme uses a derogatory term to describe women, promoting negative stereotypes about their weight."
img00053.jpg,woman,Non-Harmful,NULL,The meme does not target women for abuse or harassment.
img00054.jpg,women shoppers,Non-Harmful,NULL,The meme uses a humorous scenario without targeting women for abuse or degradation.
img00055.jpg,woman driver,Explicit-Harm,Sexual-Harassment,"The meme depicts a police officer making a sexual comment about the woman driver's husband, which is an explicit form of sexual harassment."
img00056.jpg,woman in bed,Explicit-Harm,Violence,"The image depicts a man aggressively attacking a woman in bed, which constitutes physical violence."
img00057.png,history teacher,Non-Harmful,NULL,The image does not target women for abuse or harassment.
img00058.png,woman,Non-Harmful,NULL,The meme does not directly target women for abuse or harassment.
img00059.png,woman's appearance,Non-Harmful,NULL,"The image is a humorous meme showcasing different character designs, which does not target women for abuse or harassment."
img00060.jpg,woman in wedding dress,Explicit-Harm,Sexual-Harassment,"The meme suggests that women should be relegated to mundane tasks like grocery shopping, which is a form of sexual harassment."
img00061.jpg,woman holding baby,Non-Harmful,NULL,"The image is a lighthearted observation about family resemblance, not targeting women for abuse or harassment."
img00062.jpg,grandmas and great-grandmas,Non-Harmful,NULL,The image uses a humorous comparison to depict grandmothers and great-grandmothers in a modern context.
img00063.jpg,woman,Non-Harmful,NULL,The image uses a humorous scenario involving a woman without any harmful intent.
img00064.jpg,nose piercing,Implicit-Harm,Appearance-Attack,"The meme criticizes nose piercings as unattractive, targeting women's physical appearance."
img00065.jpg,woman being pursued,Implicit-Harm,Sexual-Harassment,The sequence of images depicts a man pursuing a woman in increasingly aggressive and inappropriate ways across different decades.
img00066.jpg,woman's appearance,Implicit-Harm,Sexual-Harassment,"The meme implies that a woman's physical attractiveness is contingent on her husband's behavior, which is a form of sexual harassment."
img00067.jpg,women transitioning to men,Implicit-Harm,Sexual-Harassment,The meme suggests a negative stereotype about women's motivations for transitioning and competing in sports.
img00068.jpg,woman realtor,Non-Harmful,NULL,"The image is a collection of items related to a realtor's career, including an award and a 'Just Listed' sign, which do not target women for abuse or harassment."
img00069.png,Russia,Non-Harmful,NULL,The meme uses a historical figure to make a political statement without targeting women.
img00070.jpg,female athlete,Explicit-Harm,Sexual-Harassment,The comment suggests a sexualized and objectifying description of the athlete's performance.
img00071.png,woman in the 'Barbie' movie poster,Non-Harmful,NULL,"The image is a meme comparing reactions to 'Oppenheimer' and '9/11' memes, which does not target women for abuse or harassment."
