filename,women-related target,harm_type,harm_category,rationale
img01501.png,woman,Explicit-Harm,Sexual-Harassment,The meme objectifies the woman by equating her presence with sexual availability.
img01502.png,woman's appearance,Explicit-Harm,Appearance-Attack,The meme objectifies women by focusing on their natural body shape and suggesting preference for unaltered appearances.
img01503.jpg,woman's appearance,Non-Harmful,NULL,"The meme humorously comments on the amount of milk in tea, but does not target or demean the woman."
img01504.jpg,woman in bikini,Non-Harmful,NULL,"The meme uses a humorous juxtaposition of a man carrying an octopus and a woman in a bikini, but there is no explicit or implicit harm towards the woman."
img01505.jpg,woman,Explicit-Harm,Misogyny,"The meme uses derogatory language ('bitchen') and prescribes traditional gender roles ('More Kitchen'), attacking women's autonomy and equality."
img01506.jpg,Daenerys Targaryen,Implicit-Harm,Misogyny,"The meme suggests that Daenerys' appearance changes when she becomes a wife, implying a negative shift in her character or value."
img01507.jpg,woman,Implicit-Harm,Misogyny,"The meme suggests dating a black man is dangerous, implying racial stereotypes about violence."
img01508.png,Iron Man,Non-Harmful,NULL,The meme uses a scientific fact to make a humorous observation about Iron Man's name but does not target women for abuse.
img01509.jpg,British people cooking,Non-Harmful,NULL,"The meme is making a humorous comparison between Gordon Ramsay and British cooking, not targeting women for abuse."
img01510.png,woman,Non-Harmful,NULL,The meme does not target a woman for abuse; it is a critique of religious intolerance and hate speech.
img01511.png,woman,Non-Harmful,NULL,"The meme uses a before-and-after format to humorously suggest a change in the woman's appearance over time, but it does not target or demean her."
img01512.jpg,woman's appearance,Non-Harmful,NULL,"The meme compares two women's appearances, but does not attack or demean either."
img01513.jpg,BPD individuals,Non-Harmful,NULL,"The meme uses Shrek to illustrate a point about BPD individuals, but it does not target women for abuse."
img01514.jpg,International Women's Day banner,Implicit-Harm,Misogyny,"The meme suggests that International Women's Day should be about ironing, implying that women's contributions are trivial."
img01515.jpg,woman,Non-Harmful,NULL,The meme does not target a woman for abuse; it discusses men's desires and actions towards women.
img01516.png,woman hacker,Non-Harmful,NULL,The meme is a humorous representation of a stereotypical 'hacker girl' trope without any explicit or implicit harm towards women.
img01517.jpg,woman's appearance,Non-Harmful,NULL,The meme does not target a woman for abuse; it is a humorous comparison between drawing skills and online behavior.
img01518.png,female clothing,Non-Harmful,NULL,The meme does not target women for abuse; it is a game interface showing precepts related to clothing.
img01519.jpg,female characters in video games,Implicit-Harm,Sexual-Harassment,"The meme suggests that male gamers are objectifying female characters in video games, reducing them to mere sex symbols."
img01520.jpg,feminist women,Explicit-Harm,Misogyny,"The meme objectifies feminist women by suggesting they are sent to live with a Muslim man as part of a dating show premise, implying their motivations are purely for 'free Palestine' rather than personal choice or equality."
img01521.jpg,woman in bikini,Non-Harmful,NULL,The meme uses a woman's body as a visual element but does not target her for abuse.
img01522.png,school teacher,Non-Harmful,NULL,The meme criticizes the actions of Americans but does not target a woman for abuse.
img01523.jpg,woman,Non-Harmful,NULL,"The meme uses a quote from a famous person to make a humorous observation, not to harm or demean women."
img01524.png,woman,Non-Harmful,NULL,The meme does not target a woman for abuse; it is a humorous comparison between men and women's bodies.
img01525.jpg,woman's marriage preference,Implicit-Harm,Misogyny,"The meme suggests that women prioritize men with physical attributes over their character, perpetuating the idea that physical appearance is more important than personality or compatibility."
img01526.jpg,woman,Explicit-Harm,Sexual-Harassment,The meme objectifies the woman by reducing her to a sexual object and implying she is disposable.
img01527.jpg,women,Non-Harmful,NULL,"The meme is a humorous observation about someone's motivations, not targeting women for abuse."
img01528.jpg,woman's appearance,Non-Harmful,NULL,"The meme uses a close-up of a woman's face to illustrate a point about social behavior, but it does not target her for abuse."
img01529.jpg,woman,Implicit-Harm,Sexual-Harassment,"The meme uses a spider to make a sexual innuendo about a woman's scream, implying she might be easily frightened or sexually excited by small things."
img01530.jpg,woman Karen,Implicit-Harm,Sexual-Harassment,The meme objectifies the woman by associating her healing power with her physical appearance.
img01531.jpg,woman's appearance,Implicit-Harm,Appearance-Attack,"The meme suggests that women's appearances change dramatically after bathing, implying that their natural state is unattractive."
img01532.png,woman,Non-Harmful,NULL,The meme does not target a woman for abuse; it is a political commentary.
img01533.jpg,woman,Non-Harmful,NULL,"The meme is a humorous take on insurance, not targeting women for abuse."
img01534.jpg,woman's appearance,Explicit-Harm,Appearance-Attack,"The meme criticizes women based on their physical attributes, specifically their height, looks, and wealth, which are presented as unrealistic and unattainable standards."
img01535.jpg,woman's appearance,Explicit-Harm,Sexual-Harassment,"The meme objectifies the woman's body and suggests a sexual proposition, implying she is dangerous."
img01536.png,woman,Non-Harmful,NULL,"The meme is a humorous greeting directed at children, not targeting women for abuse."
img01537.jpg,women,Non-Harmful,NULL,"The meme uses statistics to discuss abortion reasons, which is a factual discussion."
img01538.jpg,woman,Non-Harmful,NULL,"The image shows a scrapbook page featuring a character from 'Lilo & Stitch' and various drawings, but there is no explicit or implicit harm towards women."
img01539.jpg,woman,Non-Harmful,NULL,"The image shows a collage of individuals, including a woman, but there is no explicit or implicit harm directed towards her."
img01540.png,woman's appearance,Non-Harmful,NULL,The meme praises the woman's body without attacking or demeaning her.
img01541.jpg,woman,Explicit-Harm,Appearance-Attack,"The meme suggests that plastic surgery is disfiguring, implying that women should not undergo it."
img01542.png,woman in a relationship,Non-Harmful,NULL,The meme discusses a personal relationship scenario but does not target the woman for abuse.
img01543.jpg,man,Non-Harmful,NULL,"The image depicts a transformation from a bloodied man to a more muscular version, but there is no explicit or implicit harm towards a woman."
img01544.jpg,topologist,Non-Harmful,NULL,The image humorously depicts a topologist's morning routine but does not target women for abuse.
img01545.jpg,woman,Explicit-Harm,Violence,"The meme depicts a man physically assaulting a woman, endorsing domestic violence."
img01546.jpg,chicken lady,Non-Harmful,NULL,The meme references 'chicken lady' memes but does not directly target women for abuse.
img01547.jpg,woman in black dress,Non-Harmful,NULL,"The image shows a woman in a social setting, but there is no indication of harm towards her."
img01548.jpg,woman,Implicit-Harm,Misogyny,"The meme suggests that winning arguments with women is a significant achievement, implying that women are inherently argumentative or difficult to win over."
img01549.jpg,woman,Non-Harmful,NULL,"The meme uses a woman to illustrate a point about understanding differences between men and women, but it does not target her for abuse."
img01550.png,woman,Implicit-Harm,Misogyny,"The meme suggests that Delhi girls have a high 'body count', implying sexual promiscuity and objectifying their sexuality."
img01551.jpg,woman,Non-Harmful,NULL,"The meme quotes a statement about women being difficult to please, which is a generalization rather than a specific attack on a woman."
img01552.jpg,woman eating,Non-Harmful,NULL,"The meme uses mathematical constants to humorously compare eating habits, which is a playful comparison and not harmful."
img01553.png,woman,Non-Harmful,NULL,The meme discusses trends in dating and relationships without targeting or demeaning women.
img01554.jpg,woman,Implicit-Harm,Misogyny,"The meme suggests that women are more attracted to men based on their height rather than their criminal history or behavior, perpetuating a harmful stereotype."
img01555.jpg,Supergirl,Non-Harmful,NULL,"The meme compares two versions of Supergirl, but does not target or harm either character."
img01556.png,women's romance novels,Non-Harmful,NULL,The meme uses a humorous reaction to critique the genre but does not directly harm or demean women.
img01557.jpg,woman,Non-Harmful,NULL,The meme does not target a woman for abuse but rather reports a news story.
img01558.png,Alchemist,Non-Harmful,NULL,"The Alchemist is described neutrally as a character type in a game, with no negative connotations towards women."
img01559.jpg,Jenna Ortega,Non-Harmful,NULL,"The image is a positive portrayal of Jenna Ortega, praising her as 'divine' and mentioning her roles and achievements, which is not harmful."
img01560.png,woman wearing 'The Merry Widow' hat,Non-Harmful,NULL,"The image is educational and historical, providing context about fashion trends during the early 20th century."
img01561.png,woman,Non-Harmful,NULL,"The meme uses a humorous exchange to make a point about communication, not targeting women for abuse."
img01562.jpg,woman,Explicit-Harm,Sexual-Harassment,The meme uses a Quranic verse to justify domestic violence against a woman.
img01563.jpg,woman,Non-Harmful,NULL,"The meme compares a woman's reaction to a man's shower routine, but it does not target or demean women."
img01564.jpg,Frodo,Non-Harmful,NULL,The meme discusses Frodo's character without targeting women for abuse.
img01565.png,woman arriving from work,Non-Harmful,NULL,"The meme contrasts the appearance of a woman after work with a man showering, but it does not target the woman for abuse."
img01566.jpg,woman's appearance,Implicit-Harm,Misogyny,"The meme suggests that women's bodies have become less desirable since 2016, implying a loss of attractiveness."
img01567.png,woman,Non-Harmful,NULL,"The meme uses a 'yes, but' format to question the sincerity of a compliment, which is a common form of counter-speech rather than an attack on the woman."
img01568.png,women,Implicit-Harm,Misogyny,"The meme suggests that women are taught to be passive in relationships, implying a lack of equality and respect for their autonomy."
img01569.png,popular modern romance books written by women,Non-Harmful,NULL,The meme criticizes the genre but does not target women themselves for abuse.
img01570.png,woman's appearance,Implicit-Harm,Appearance-Attack,"The meme suggests that women spend money on superficial items like wigs, manicures, and fast food instead of paying bills."
img01571.png,woman's pregnancy,Implicit-Harm,Misogyny,The meme uses a humorous but degrading comparison to suggest that women are overly concerned about their appearance after discovering they are pregnant.
img01572.jpg,woman's height,Implicit-Harm,Misogyny,"The meme uses a stereotype about women's average height to imply that women are shorter than men, which is a form of gender-based discrimination."
img01573.jpg,woman,Non-Harmful,NULL,"The meme is seeking advice from others, not targeting the woman for abuse."
img01574.jpg,woman,Non-Harmful,NULL,The meme quotes a statement that is critical towards misogynists and incels but does not target the woman herself for abuse.
img01575.jpg,women,Non-Harmful,NULL,"The image uses a metaphorical comparison between women and viruses, which is a common form of dehumanization and derogatory language."
img01576.jpg,woman,Non-Harmful,NULL,The meme celebrates the woman's academic achievement without any negative connotations.
img01577.jpg,woman,Explicit-Harm,Misogyny,"The meme suggests that false accusations against women should be treated like sex offenders, implying that women are more likely to make false accusations."
img01578.jpg,wife,Non-Harmful,NULL,The meme categorizes different emotions associated with a wife but does not demean or attack her.
img01579.jpg,woman,Non-Harmful,NULL,The meme quotes a child's statement without criticism or harm.
img01580.jpg,woman in historical attire,Non-Harmful,NULL,"The meme uses a historical portrait to make a humorous statement about health advice, which is not directed at any specific gender."
img01581.jpg,mother,Non-Harmful,NULL,"The meme uses a historical painting to humorously depict a mother's irritation, but it does not target the mother for abuse."
img01582.jpg,woman,Non-Harmful,NULL,"The meme defines 'dogtrovert' as someone who prefers dogs over people, which is a neutral description and does not harm women."
img01583.jpg,woman,Non-Harmful,NULL,"The meme is a humorous observation about age groups and partying, not targeting women for abuse."
img01584.png,woman,Explicit-Harm,Sexual-Harassment,"The headline directly states 'sexually harassing woman', indicating explicit sexual harm."
img01585.jpg,woman,Implicit-Harm,Sexual-Harassment,"The image depicts a woman being stared at, with text suggesting she feels uncomfortable and wants the attention to stop, indicating a sexual harassment scenario."
img01586.jpg,women,Non-Harmful,NULL,"The image discusses statistics about domestic violence, which is a serious issue but does not target women for abuse."
img01587.jpg,woman,Explicit-Harm,Sexual-Harassment,"The meme lists explicit sexual harassment and degradation as conditions for posting, directly insulting the woman."
img01588.jpg,woman,Non-Harmful,NULL,The meme does not target a woman for abuse; it is a humorous commentary on preventing date rape.
img01589.jpg,girlfriend,Non-Harmful,NULL,"The meme is a humorous exchange about gift-giving, not targeting the girlfriend for abuse."
img01590.jpg,pregnant woman,Explicit-Harm,Sexual-Harassment,The meme objectifies the pregnant woman by focusing on her body part during sexual activity.
img01591.jpg,woman's appearance,Non-Harmful,NULL,"The meme uses a baby to humorously depict a girlfriend's reaction, but there is no explicit or implicit harm towards women."
img01592.jpg,woman breastfeeding,Implicit-Harm,Sexual-Harassment,"The comparison to a cow objectifies the woman's breastfeeding act, reducing it to a mere animal function."
img01593.jpg,woman,Explicit-Harm,Sexual-Harassment,"The meme suggests that the woman can be 'raped' after reading the Quran, implying sexual violence as a solution to arguments involving women."
img01594.png,woman trying to get an education,Explicit-Harm,Misogyny,The meme uses derogatory language to demean a woman pursuing education.
img01595.jpg,penguins wearing graduation caps,Non-Harmful,NULL,"The image humorously depicts penguins wearing graduation caps, which is a playful scenario unrelated to any form of harm towards women."
img01596.jpg,woman's appearance,Non-Harmful,NULL,"The meme uses a cartoon character to illustrate a humorous point about communication, not targeting women for abuse."
img01597.jpg,woman,Non-Harmful,NULL,"The meme uses a baby to make a humorous comparison, which is not directed at a specific woman."
img01598.jpg,woman's appearance,Non-Harmful,NULL,"The meme uses fruit to make a suggestive gesture, but there is no direct harm to a woman."
img01599.jpg,woman's appearance,Non-Harmful,NULL,The meme does not target a woman for abuse; it is a humorous exchange about a dating app feature.
img01600.jpg,woman,Non-Harmful,NULL,The meme does not target a woman for abuse; it appears to be a humorous exchange between characters.
img01601.jpg,woman,Non-Harmful,NULL,"The meme is a humorous statement about workplace behavior, not targeting women for abuse."
img01602.jpg,woman,Explicit-Harm,Sexual-Harassment,"The meme contains explicit sexual content and references sexual acts, which is inappropriate and offensive."
img01603.jpg,woman,Implicit-Harm,Sexual-Harassment,The meme suggests that men are objectifying women based on their appearance.
img01604.jpg,woman in the car,Implicit-Harm,Sexual-Harassment,"The meme uses a song to objectify the woman, suggesting she is reduced to a body part or objectified through music."
img01605.jpg,spooky meme,Non-Harmful,NULL,The meme is a humorous observation about the timing of memes on r/dankmemes and does not target women for abuse.
